Team1,Team2,Stadium,Distance
Estonia,Georgia,A. Le Coq Arena,2.741465034644094
Estonia,Armenia,A. Le Coq Arena,2.803773880851894
Georgia,Kazakhstan,Boris Paichadze Dinamo Arena,3.00202572451137
Georgia,Estonia,Boris Paichadze Dinamo Arena,2.741465034644094
Georgia,Armenia,Boris Paichadze Dinamo Arena,0.1261413211272694
Armenia,Kazakhstan,Vazgen Sargsyan Republican Stadium,3.04626183330974
Armenia,Estonia,Vazgen Sargsyan Republican Stadium,2.803773880851894
Armenia,Georgia,Vazgen Sargsyan Republican Stadium,0.1261413211272694
Luxembourg,Bosnia and Herzegovina,Luxembourg Stadium,1.4350733848616655
Luxembourg,Latvia,Luxembourg Stadium,2.1556278029772993
Luxembourg,Albania,Luxembourg Stadium,1.7664032424907952
Bosnia and Herzegovina,Luxembourg,Bilino Polje Stadium,1.4350733848616655
Bosnia and Herzegovina,Latvia,Bilino Polje Stadium,1.4935410903408601
Bosnia and Herzegovina,Albania,Bilino Polje Stadium,0.3710649677653934
Latvia,Luxembourg,Daugava Stadium,2.1556278029772993
Latvia,Bosnia and Herzegovina,Daugava Stadium,1.4935410903408601
Latvia,Albania,Daugava Stadium,1.6814630877088215
Albania,Luxembourg,Arena Kombëtare,1.7664032424907952
Albania,Bosnia and Herzegovina,Arena Kombëtare,0.3710649677653934
Albania,Latvia,Arena Kombëtare,1.6814630877088215
Iceland,Faroe Islands,Laugardalsvöllur,1.6945271152769483
Iceland,Republic of Ireland,Laugardalsvöllur,2.092234057854524
Iceland,Northern Ireland,Laugardalsvöllur,2.0473808074974973
Faroe Islands,Iceland,Tórsvøllur,1.6945271152769483
Faroe Islands,Republic of Ireland,Tórsvøllur,0.9613252405920578
Faroe Islands,Northern Ireland,Tórsvøllur,0.826868094388438
Republic of Ireland,Iceland,Aviva Stadium,2.092234057854524
Republic of Ireland,Faroe Islands,Aviva Stadium,0.9613252405920578
Republic of Ireland,Northern Ireland,Aviva Stadium,0.1412312007400997
Northern Ireland,Iceland,National Football Stadium at Windsor Park,2.0473808074974973
Northern Ireland,Faroe Islands,National Football Stadium at Windsor Park,0.826868094388438
Northern Ireland,Republic of Ireland,National Football Stadium at Windsor Park,0.1412312007400997
San Marino,Belarus,San Marino Stadium,1.9694778590893687
San Marino,Montenegro,San Marino Stadium,0.7721038474531317
San Marino,North Macedonia,San Marino Stadium,1.0166513153755674
Belarus,San Marino,Dinamo Stadium,1.9694778590893687
Belarus,Montenegro,Dinamo Stadium,1.4871650219995418
Belarus,North Macedonia,Dinamo Stadium,1.381881880857807
Montenegro,San Marino,Podgorica City Stadium,0.7721038474531317
Montenegro,Belarus,Podgorica City Stadium,1.4871650219995418
Montenegro,North Macedonia,Podgorica City Stadium,0.2446306369889266
North Macedonia,San Marino,Todor Proeski National Arena,1.0166513153755674
North Macedonia,Belarus,Todor Proeski National Arena,1.381881880857807
North Macedonia,Montenegro,Todor Proeski National Arena,0.2446306369889266
Gibraltar,Andorra,Victoria Stadium,1.0399474365713153
Gibraltar,Wales,Victoria Stadium,1.7166472816710048
Andorra,Gibraltar,Estadi Nacional,1.0399474365713153
Andorra,Wales,Estadi Nacional,1.1260469631100696
Wales,Gibraltar,Principality Stadium,1.7166472816710048
Wales,Andorra,Principality Stadium,1.1260469631100696
